originalId,originalName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species
,"Abelmoschus manihot (L.) Medik.","Abelmoschus manihot (L.) Medik.","3152706","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus manihot"
,"Abelmoschus moschatus","Abelmoschus moschatus","8312665","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus moschatus"
,"Abelmoschus moschatus Medik.","Abelmoschus moschatus (L.) Medic.","3152709","EXACT","100","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus moschatus"
,"Abies balsamea (L.) Mill.","Abies balsamea (L.) Mill.","2685383","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies balsamea"
,"Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.","Abies concolor (Gordon) Lindl. ex Hildebr.","2685580","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies concolor"
,"Abies fraseri (Pursh) Poir.","Abies fraseri (Pursh) Poir.","2685318","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies fraseri"
,"Abies nephrolepis (Trautv. ex Maxim.) Maxim.","Abies nephrolepis (Trautv. ex Maxim.) Maxim.","9060190","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies nephrolepis"
,"Abies nordmanniana (Steven) Spach","Abies nordmanniana (Steven) Spach","2685552","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies nordmanniana"
,"Abies nordmanniana (Steven) Spach subsp. equi-trojani (Asch. & Sint. ex Boiss.) Coode & Cullen","Abies nordmanniana subsp. equi-trojani (Asch. & Sint. ex Boiss.) Coode & Cullen","2685553","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies nordmanniana"
,"Abrus precatorius","Abrus precatorius L.","5348711","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abrus","Abrus precatorius"
,"Abrus precatorius L.","Abrus precatorius L.","5348711","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abrus","Abrus precatorius"
,"Abutilon theophrasti Medicus","Abutilon theophrasti Medik.","3152614","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon","Abutilon theophrasti"
,"Abutilon theophrasti Medik.","Abutilon theophrasti Medik.","3152614","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon","Abutilon theophrasti"
,"Acacia acuminata Benth.","Acacia acuminata Benth.","2979180","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia acuminata"
,"Acacia aneura F. Muell","Acacia aneura F. Muell.","7942844","EXACT","100","DOUBTFUL","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia aneura"
,"Acacia aulacocarpa A.Cunn.ex Benth.","Acacia aulacocarpa A.Cunn. ex Benth.","2979454","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia aulacocarpa"
,"Acacia confusa Merr.","Acacia confusa Merr.","2978466","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia confusa"
,"Acacia mangium Willd.","Acacia mangium Willd.","2979091","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia mangium"
,"Acacia mearnsii De Wild.","Acacia mearnsii De Wild.","2979775","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia mearnsii"
,"Acacia pendula A.Cunn.ex G.Don","Acacia pendula A.Cunn.","8439679","EXACT","100","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia pendula"
,"Acacia saligna (Labill.) Wendl.","Acacia saligna (Labill.) H.L.Wendl.","2978552","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia saligna"
,"Acacia victoriae Benth.","Acacia victoriae Benth.","2979105","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia victoriae"
,"Acanthus mollis L.","Acanthus mollis L.","5415455","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus","Acanthus mollis"
,"Acer macrophyllum Pursh","Acer macrophyllum Pursh","3189835","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer macrophyllum"
,"Acer negundo L.","Acer negundo L.","3189866","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer negundo"
,"Acer platanoides L.","Acer platanoides L.","3189846","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer platanoides"
,"Acer pseudoplatanus L.","Acer pseudoplatanus L.","3189870","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer pseudoplatanus"
,"Acer saccharum","Acer saccharum Marshall","3189859","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer saccharum"
,"Acer saccharum Marshall subsp. leucoderme (Small) Desmarais","Acer saccharum subsp. leucoderme (Small) Desmarais","3189850","EXACT","100","SYNONYM","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer leucoderme"
,"Acer saccharum Marshall subsp. nigrum (F. Michx.) Desmarais","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","3189855","EXACT","100","SYNONYM","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer nigrum"
,"Acer spicatum","Acer spicatum Lam.","3189848","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer spicatum"
,"Acer spicatum Lam.","Acer spicatum Lam.","3189848","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer spicatum"
,"Achillea alpina L.","Achillea alpina L.","3120223","EXACT","100","DOUBTFUL","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","Achillea alpina"
,"Achillea ptarmica L.","Achillea ptarmica L.","3120333","EXACT","100","DOUBTFUL","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","Achillea ptarmica"
,"Achnatherum hymenoides","Achnatherum hymenoides (Roem. & Schult.) Barkworth","2703427","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Eriocoma","Eriocoma hymenoides"
,"Achnatherum hymenoides (Roem. & Schult.) Barkworth","Achnatherum hymenoides (Roem. & Schult.) Barkworth","2703427","EXACT","100","SYNONYM","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Eriocoma","Eriocoma hymenoides"
,"Achnatherum nelsonii","Achnatherum nelsonii (Scribn.) Barkworth","2703432","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Stipa","Stipa nelsonii"
,"Achnatherum nelsonii (Scribn.) Barkworth subsp. dorei (Barkworth & J. Maze) Barkworth","Achnatherum nelsonii subsp. dorei (Barkworth & J.R.Maze) Barkworth","4141675","EXACT","100","SYNONYM","SUBSPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Stipa","Stipa nelsonii"
,"Aconitum coreanum","Aconitum coreanum (H. Lev.) Rapaics","8121969","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum","Aconitum coreanum"
,"Aconitum napellus L.","Aconitum napellus L.","3033665","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum","Aconitum napellus"
,"Acorus calamus L.","Acorus calamus L.","2873769","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Acorales","Acoraceae","Acorus","Acorus calamus"
,"Actaea racemosa","Actaea racemosa L.","6376106","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea","Actaea racemosa"
,"Actaea racemosa L.","Actaea racemosa L.","6376106","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea","Actaea racemosa"
,"Actinidia arguta","Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.","3189693","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Actinidiaceae","Actinidia","Actinidia arguta"
,"Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.","Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.","3189693","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Actinidiaceae","Actinidia","Actinidia arguta"
,"Actinidia callosa Lindl.","Actinidia callosa Lindl.","7270822","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Actinidiaceae","Actinidia","Actinidia callosa"
,"Actinidia kolomikta","Actinidia kolomikta (Maxim. & Rupr.) Maxim.","7270682","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Actinidiaceae","Actinidia","Actinidia kolomikta"
,"Actinidia kolomikta (Maxim. & Rupr.) Maxim.","Actinidia kolomikta (Maxim. & Rupr.) Maxim.","7270682","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Actinidiaceae","Actinidia","Actinidia kolomikta"
,"Actinidia polygama","Actinidia polygama (Siebold & Zucc.) Maxim.","3189692","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Actinidiaceae","Actinidia","Actinidia polygama"
,"Adenanthera pavonina L.","Adenanthera pavonina L.","2951846","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Adenanthera","Adenanthera pavonina"
,"Aegilops bicornis","Aegilops bicornis (Forssk.) Jaub. & Spach","5289788","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops bicornis"
,"Aegilops bicornis (Forssk.) Jaub. & Spach","Aegilops bicornis (Forssk.) Jaub. & Spach","5289788","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops bicornis"
,"Aegilops bicornis (Forssk.) Jaub. & Spach var. anathera Eig","Aegilops bicornis var. anathera Eig","5929172","EXACT","100","SYNONYM","VARIETY","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops bicornis"
,"Aegilops bicornis (Forssk.) Jaub. & Spach var. bicornis","Aegilops bicornis (Forssk.) Jaub. & Spach","5289788","HIGHERRANK","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops bicornis"
,"Aegilops bicornis var. bicornis","Aegilops bicornis (Forssk.) Jaub. & Spach","5289788","HIGHERRANK","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops bicornis"
,"Aegilops biuncialis","Aegilops biuncialis Vis.","5289796","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops lorentii"
,"Aegilops biuncialis Vis.","Aegilops biuncialis Vis.","5289796","EXACT","100","SYNONYM","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops lorentii"
,"Aegilops comosa","Aegilops comosa Sm.","5289784","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops comosa Sibth. & Sm.","Aegilops comosa Sm.","5289784","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops comosa Sibth. & Sm. subsp. comosa","Aegilops comosa subsp. comosa","7226879","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops comosa Sibth. & Sm. subsp. comosa var. comosa","Aegilops comosa subsp. comosa","7226879","EXACT","96","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops comosa Sibth. & Sm. subsp. heldreichii (Boiss.) Eig","Aegilops comosa subsp. heldreichii (Boiss.) Eig","5929150","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops comosa Sibth. & Sm. subsp. heldreichii var. subventricosa Boiss.","Aegilops comosa var. subventricosa Boiss.","5827616","EXACT","100","SYNONYM","VARIETY","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops comosa Sm.","Aegilops comosa Sm.","5289784","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops comosa Sm. in Sibth. et Sm. var. subventricosa Boiss.","Aegilops comosa var. subventricosa Boiss.","5827616","EXACT","100","SYNONYM","VARIETY","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops comosa Sm. var. comosa","Aegilops comosa subsp. comosa","7226879","EXACT","96","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops comosa Sm. var. subventricosa Boiss.","Aegilops comosa var. subventricosa Boiss.","5827616","EXACT","100","SYNONYM","VARIETY","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops comosa var. comosa","Aegilops comosa subsp. comosa","7226879","EXACT","96","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops comosa var. subventricosa","Aegilops comosa var. subventricosa Boiss.","5827616","EXACT","99","SYNONYM","VARIETY","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops comosa"
,"Aegilops crassa","Aegilops crassa Boiss.","5289792","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops crassa"
,"Aegilops crassa BOISS.","Aegilops crassa Boiss.","5289792","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops crassa"
,"Aegilops crassa BOISS. subsp. vavilovii ZHUK.","Aegilops crassa subsp. vavilovii Zhuk.","5929153","EXACT","100","SYNONYM","SUBSPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops vavilovii"
,"Aegilops crassa var. typica","Aegilops crassa var. typica Eig","5945371","EXACT","99","SYNONYM","VARIETY","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops crassa"
,"Aegilops juvenalis","Aegilops juvenalis (Thell.) Eig","5677944","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops juvenalis"
,"Aegilops juvenalis (THELL.) EIG","Aegilops juvenalis (Thell.) Eig","5677944","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","Aegilops juvenalis"
