taxonkey	ISO2	ISO3
2977819	BR	BRA
2977819	CO	COL
2977819	GY	GUY
2977819	VE	VEN
7272454	CN	CHN
7272454	MN	MNG
5599251	CN	CHN
5599251	JP	JPN
5599251	TW	TWN
3941021	ID	IDN
3941021	IN	IND
3941021	KH	KHM
3941021	LA	LAO
3941021	LK	LKA
3941021	PK	PAK
3941021	VN	VNM
3940931	BT	BTN
3940931	CN	CHN
3940931	ID	IDN
3940931	IN	IND
3940931	KH	KHM
3940931	LA	LAO
3940931	MM	MMR
3940931	MY	MYS
3940931	NP	NPL
3940931	PK	PAK
3940931	PH	PHL
3940931	TH	THA
3940931	VN	VNM
3940858	AU	AUS
3940858	ER	ERI
3940858	IN	IND
3940858	KE	KEN
3940858	LK	LKA
3940858	MG	MDG
3940858	MZ	MOZ
3940858	MY	MYS
3940858	NE	NER
3940858	NG	NGA
3940858	PK	PAK
3940858	SD	SDN
3940858	SO	SOM
3940858	TD	TCD
3940858	TZ	TZA
3940858	UG	UGA
3940858	ZM	ZMB
3152706	BT	BTN
3152706	CN	CHN
3152706	ID	IDN
3152706	IN	IND
3152706	MM	MMR
3152706	MY	MYS
3152706	NP	NPL
3152706	PK	PAK
3152706	PH	PHL
3152706	PG	PNG
3152706	TH	THA
6712761	BT	BTN
6712761	CN	CHN
6712761	ID	IDN
6712761	IN	IND
6712761	MM	MMR
6712761	MY	MYS
6712761	NP	NPL
6712761	PK	PAK
6712761	PH	PHL
6712761	TH	THA
6712761	TW	TWN
8010473	ID	IDN
8010473	IN	IND
8010473	PH	PHL
8010473	PG	PNG
8312665	AU	AUS
8312665	BD	BGD
8312665	CN	CHN
8312665	ID	IDN
8312665	IN	IND
8312665	KH	KHM
8312665	LA	LAO
8312665	LK	LKA
8312665	MY	MYS
8312665	PH	PHL
8312665	PG	PNG
8312665	TH	THA
8312665	TW	TWN
8312665	VN	VNM
8224382	AU	AUS
8224382	ID	IDN
7279653	CN	CHN
7279653	IN	IND
7279653	KH	KHM
7279653	LA	LAO
7279653	MM	MMR
7279653	TH	THA
3940733	AU	AUS
3940733	CN	CHN
3940733	ID	IDN
3940733	IN	IND
3933326	IN	IND
2685484	AL	ALB
2685484	AT	AUT
2685484	BG	BGR
2685484	BA	BIH
2685484	CH	CHE
2685484	CZ	CZE
2685484	DE	DEU
2685484	ES	ESP
2685484	FR	FRA
2685484	GR	GRC
2685484	HR	HRV
2685484	HU	HUN
2685484	IT	ITA
2685484	MK	MKD
2685484	ME	MNE
2685484	PL	POL
2685484	RO	ROU
2685484	RS	SRB
2685484	SK	SVK
2685484	SI	SVN
2685484	UA	UKR
2685524	CA	CAN
2685524	US	USA
2685383	CA	CAN
2685383	US	USA
2685326	GR	GRC
2685580	MX	MEX
2685580	US	USA
2685414	JP	JPN
2685318	US	USA
2685361	CA	CAN
2685361	US	USA
2685663	JP	JPN
2685313	CA	CAN
2685313	US	USA
9082743	US	USA
9060190	CN	CHN
9060190	RU	RUS
2685552	GE	GEO
2685552	TR	TUR
2685546	DZ	DZA
2685683	AF	AFG
2685683	CN	CHN
